순서,목록,인원,회사,감독,연두,키키,고래,콩난,귤젤리,태산,러프,태규,물망쵸,무디,내장지방,돌멩이,돌게,아마추어,찐빵,결,땅물,SUN,오네,제로,피아,동그리,바다,범신,은,소장(괄호:대여)
163,문어 형님 타코야끼 조리 사건,4인,보틀링컴퍼니,X,X,완료,완료,완료,X,완료,,,,,,,,,,,,,완료,완료,,,,,,감독
164,크림향 낭자한 만쥬의 죽음,4인,보틀링컴퍼니,X,X,완료,완료,완료,X,완료,,,,,,,,,완료,,,,완료,완료,,,,,,감독
165,호텔레드럼 : 노란 죽음,5인,827112,완료,X,완료,X,완료,완료,,X,,,,,,,,,,,,X,X,,,,,,감독
166,호텔레드럼 : 푸른 죽음,5인,827112,완료,X,완료,X,완료,완료,,X,,,,,,,,,,,,X,X,,,,,,감독
167,달마저 숨은 밤,4인,이작가,완료,완료,완료,X,완료,완료,완료,X,완료,,,,완료,완료,,,완료,완료,완료,X,X,,,,,,감독
168,여우잡이,4인,이작가,완료,완료,완료,완료,완료,완료,완료,,,,,,,,,,,,,X,X,완료,,,,,감독
169,오마주 : 미술관 살인사건,4인,AUSPICIOUS,완료,완료,완료,X,완료,X,,X,완료,,,,,,,,,,,X,X,,,,,,감독
170,웸블리 타운의 친절한 이웃들: 웰시코기 살인사건,4인,AUSPICIOUS,완료,완료,완료,완료,완료,완료,완료,X,,,,,,,,,,,,X,X,,,완료,완료,완료,감독
171,사라진 선생님,5-6인,송원일,완료,X,완료,,완료,X,완료,X,,완료,,,,,완료,,,,,X,X,,,,,,
172,루시드,6-7인,송원일,완료,X,X,완료,완료,X,완료,X,,완료,완료,,완료,,완료,,,,,X,X,,,,,,
173,레거시,5인,송원일,X,X,X,완료,X,X,,X,,,,,,,,,,,,X,X,,,,,,
174,리그렛 지구편,5-6인,송원일,X,완료,X,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,
175,리그렛 우주편,5-6인,송원일,X,완료,X,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,
176,미스터리&어드벤처 박스 시리즈 01 분가,5-6인,언더독 게임즈,X,X,완료,,,,완료,,,완료,,,,,,,,,,완료,완료,완료,,,,,감독
177,미스터리&어드벤처 박스 시리즈 02 8월의 타임머신,6-7인,언더독 게임즈,X,X,,,,,,,,,,,,,,,,,,예정,예정,완료,,,,,감독
178,미스터리&어드벤처 박스 시리즈 03 귀면 도시 수사 File,6인,언더독 게임즈,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
179,미스터리&어드벤처 박스 시리즈 04 탐정 금지 영역,6인,언더독 게임즈,X,X,,,,,,,,,,,,,,,,,,X,X,완료,,,,,감독
180,퇴사하려 했을 뿐인데 김부장이 죽은 건에 관하여,4-5인,TNT 게임즈,완료,X,완료,,완료,완료,완료,X,,,완료,완료,,,,,,,,완료,완료,,,,,,"감독, 귤젤리"
181,퇴사하자마자  하필 이세계 소환된 건에 관하여,4-5인,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
182,아테나 : 4%의 비밀,5인,보또,완료,완료,완료,완료,완료,완료,완료,X,완료,완료,,완료,완료,,,,완료,완료,,완료,완료,,,,완료,,"감독, 귤젤리"
183,천안대학교 민속학연구동아리 활동보고서 #벌명당산,4인+GM필수,쿠키박스,X,X,X,,X,X,,X,,,,,,,완료,,,,,X,X,,,,,,감독
184,더 블랙 결혼식장 살인사건,4-5인,발할라,X,X,X,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,
185,무진 -불신지옥-,4인,이데아(Idea),완료,완료,완료,,X,X,완료,X,,,,,,,,,,,,X,X,,,,완료,,감독
186,무령,4-5인,팀 임스(Team IMS),완료,완료,완료,,완료,완료,완료,X,완료,,완료,,완료,완료,,,,,완료,X,X,완료,,,,,감독
187,프로젝트 노아,4인,3B게임즈,완료,완료,완료,완료,완료,X,완료,X,완료,,완료,,,,,,,,,X,X,,,,완료,,감독
188,감자의 꿈,5인,째리노리,완료,완료,완료,완료,완료,완료,완료,완료,,,완료,완료,,,완료,,완료,완료,완료,완료,완료,완료,,,완료,,감독
189,달콤한 노랑,5인,째리노리,X,X,,,완료,완료,완료,,,,,,,,,완료,,,,완료,완료,,,,,,"감독,귤젤리"
190,로맨스 판타지 세계에서 살아남는 방법에 대하여,5인,초하,완료,완료,완료,,완료,완료,완료,완료,완료,,,완료,완료,완료,,,,,완료,예정,예정,,완료,완료,,완료,감독
191,설령 테세우스의 배의 작은 얼룩에 불과할지라도,5인,,X,X,완료,,,,완료,완료,,,,,,,,완료,,,,완료,완료,,,,,,감독
192,별의 추락,4인,이리스 연대기,X,완료,,,완료,X,완료,X,완료,,,,,,,,,,,완료,완료,,,,,,감독
193,사해,5인,DION,완료,완료,완료,,완료,X,완료,X,,완료,,,,,,완료,,,,완료,완료,완료,,,,,감독
194,동상이몽,6인,789게임즈,완료,X,완료,완료,완료,완료,완료,X,,완료,,,완료,,,,,,,X,X,,,,,,감독
195,일백마을 살인사건,4-5인,에브리위크 게임즈,완료,완료,완료,,완료,완료,완료,완료,완료,,완료,완료,,,완료,완료,,,,완료,완료,완료,,,완료,,감독
196,메모리즈 : 용사님을 찾습니다,5인,베어컴퍼니,완료,완료,완료,,완료,완료,완료,X,,,,,,,,,,,완료,X,X,,,,완료,,감독
197,메모리즈 : 동화 작가의 죽음,5인,베어컴퍼니,완료,완료,완료,,완료,완료,완료,X,,,,,,,,,,,완료,X,X,,,,완료,,감독
198,메모리즈 : 메모리즈,5인,베어컴퍼니,완료,완료,완료,,완료,완료,완료,X,,,,,,,,,,,완료,X,X,,,,완료,,감독
199,이세계를 구할 완벽한 파티입니다만...?,4인,보드게임카페 미플,완료,완료,완료,,완료,완료,완료,X,,완료,,완료,완료,,,완료,완료,완료,,완료,완료,완료,,,,,감독
200,형사들의 유배지,1-6인,추정 프로젝트,X,X,X,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
201,럭키언럭키,5인,솜니움,X,X,2/3,,완료,2/3,2/3,X,,,2/3,,,,,,,,,X,X,,,,,,감독
202,아스모데우스의 만찬,4인,,X,X,X,,X,X,,,,,,,,,,,,,,X,X,,,,,,감독
203,영원한 졸업식,5인,난수박물관,X,X,완료,,완료,완료,완료,,,,,,,,,,,,,완료,완료,,,,,,"감독, 귤젤리"
204,여름방학의 흡혈귀,4인+GM필수,난수박물관,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,"감독, 귤젤리"
205,늑대 무리속의 침묵,6인,My murder story,완료,완료,완료,,완료,완료,,X,,,,,,,,,,,,X,X,완료,,,,,감독
206,껍질 속 세상 (GM필수),7-8인+GM필수,사월 게임즈,완료,완료,완료,,완료,X,완료,완료,완료,완료,,,완료,완료,완료,,완료,완료,,완료,완료,완료,완료,완료,,,감독
207,"달님, 제 소원을 들어주세요",6인,버수정류장,완료,완료,완료,완료,완료,X,,X,완료,,,,,,,,,,완료,X,X,,,,,,감독
208,아스토리아의 표징,5인,괴담동아리 공채,완료,X,X,,,X,완료,X,,,,,완료,완료,완료,,,,,X,X,완료,완료,,,완료,감독
209,암행,1-4인,,완료,완료,완료,,완료,완료 ,완료 ,완료,,,완료,,완료 ,,,,,,,완료,완료,완료,,,,,감독
210,어느 괴도의 딜레마,2인,,완료,완료,완료,,완료,X,완료,완료,,완료,,완료,,,,,완료,완료,완료,완료,완료,,,,,,감독
211,D'tective T'me - 두 개의 시간,2-4인,,X,X,,,X,X,,,,,,,,,,,,,,X,X,,,,,,감독
212,판도라의 택배,5인,,X,X,완료,,완료,X,완료,완료,,,,,,,,,,,,완료,완료,완료,,,,,감독
213,당신은 탐정입니다,1-4인,,X,X,,,X,,,,,,,,,,,,완료,완료,,X,X,,,,,,감독
214,오늘 내가 죽었다,5인,Team GRK,X,X,,,완료,완료,완료,,,,,,,,,완료,,,,X,X,완료,,,,,"감독, 귤젤리"
215,우물에 깃든 소리,4인,,완료,완료,완료,,완료,,완료,,,,,,,,,,,,,X,X,,,,,,감독
216,그날이 오면,4인,,완료,완료,완료,,완료,,완료,,,,,,,,,,,,,X,X,,,,,,감독
217,레드썬 : 마지막 테이크,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
218,검은훈장 : 기록 없는 과거,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
219,범인은 이 안에 있다,1-6인,딜라이트,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
220,사라진 귀걸이를 찾아라,4인,,완료,완료,완료,,완료,완료,완료,완료,,,,,완료,,,,,,,완료,완료,,,,,,"감독, 귤젤리"
221,결백의 헌티드 파티,1인,,X,X,완료,,,,,,,,,,,,,,,,,완료,완료,,,,,,감독
222,순간 이동으로 사라진 시체와 경성 데모크라시,1인,,X,X,,,,,,,,,,,,,,,,,,완료,완료,,,,,,감독
223,작전명 너구리,4-5인,,완료,X,완료,,,,완료,완료,완료,,완료,완료,완료,완료,,,,,완료,X,X,완료,,,,,감독
224,타워,4인,,X,X,,,,,,,,,,,,,,,,,,완료,완료,,,,,,감독
225,지구에서 사랑을 담아,7인,,X,X,,,,,,,,,,,,,,,,,,예정,예정,,,,,,감독
226,이 어둠을 당신과,6인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,"감독, 귤젤리"
227,유각관 살인,6인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
228,코덱스 기가스 part.1,5인,,X,X,,,,,완료,,,,,,,,,,,,,X,X,완료,,,,,감독
229,코덱스 기가스 part.2,5인,,X,X,,,,,완료,,,,,,,,,,,,,X,X,완료,,,,,감독
230,랭던가의 망령,2인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
231,잉크웰 디텍티브 클럽,1-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
232,잉크웰 디텍티브 클럽 2 : 2번째 대본,1-4인,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,감독
233,인클로즈드: 키노아이 연구회 사건,1-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
234,인클로즈드: 초영하이츠 404호,1-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
235,낮밤,1-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
236,권력,1-4인,,X,완료,,,완료,완료,완료,,,,,,,,,,,,,X,X,,,,,,감독
237,붉은실 : 호랑이의 그림자,2-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
238,붉은실 : 각자의 시선으로,2-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
239,붉은실 : 오래된 참나무,2-4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
240,포켓 미스터리 선주민이 전하는 참극,2인,언더독 게임즈,X,X,,,,,,,,,,,,,완료,,,,,예정,예정,,,,,,감독
241,포켓 미스터리 이중 인격 탐정,2인,언더독 게임즈,완료,완료,,,,,,,,,,,,,완료,,,,,완료,완료,,,,,,감독
242,포켓 미스터리 흑백 안드로이드,2인,언더독 게임즈,X,완료,완료,,,,,,,,,,,,,,,,,예정,예정,,,,,,감독
243,포켓 미스터리 저승으로의 심판,3인,언더독 게임즈,X,완료,,,,,,,,,,,,,,,,,,X,완료,,,,,,감독
244,포켓 미스터리 미스터리 동아리 내 연속 살인,3인,언더독 게임즈,X,완료,,,,,,,,,,,완료,,,,,,,X,X,,,,,,감독
245,포켓 미스터리 대괴도의 떡잎들,3인,언더독 게임즈,X,완료,,,,,,,,,,,완료 ,,,,,,,X,X,,,,,,감독
246,포켓 미스터리 미드나이트 매드 캠프,3인,언더독 게임즈,X,완료,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
247,포켓 미스터리 여신상이 염려하는 미래,3인,언더독 게임즈,X,완료,,,,,,,,,,,,,,,,,,X,완료,,,,,,감독
248,이스터에그 ver.1 NPC로 숨어든 플레이어,4-5인,,X,X,,,,,완료,,,,,,,,완료,,,,,예정,예정,완료,,,,,감독
249,이스터에그 ver.2 플레이어 살인 사건,4-5인,,X,X,,,,,완료,,,,,,,,완료,,,,,X,X,완료,,,,,감독
250,이스터에그 ver.3 몬스터 브레이크,5인,,X,X,,,,,,,,,,,,,,,,,,X,X,완료,,,,,감독
251,선상의 비밀 : 의심의 닻을 내리다,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
252,미스터리 잼 - 슬럼독스,4인,,X,X,,,,,완료,,완료,,,,,,,,,,,X,X,,,,,,감독
253,미스터리 잼 - 탐정은 춤춘다,4인,,X,X,,,,,완료,,완료,,,,,,,,,,,X,X,,,,,,감독
254,포르투나호 살인사건,4인,,X,완료,,,완료,완료,완료,,,,,,,,,,,,,X,X,,,,,,"감독, 귤젤리"
,마지막 여행,6인,,완료,X,완료,,,,완료,완료,완료,완료,완료,,완료,완료,완료,완료,,,,X,X,완료,,,,,귤젤리(콩난 대여중)
,심해의 사계,7인,,X,X,,,,,,,,,,,,,,,,,,완료,완료,완료,,,,,감독
,스모킹 건 - 뮤지컬펜션 살인사건,5인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,스모킹 건 - 절벽산장 살인사건,4-5인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,TOUCH (한정판),5인,,X,X,,,완료,,,,,,,,,,,,,,,X,X,,,,,,감독
,GHOST,2인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,CLEAR,2인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,Decalcomanie,2인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,침식,6인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,북부 대공을 암살하는 법,5인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,도플갱어,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,기억 속의 너,2인,,X,X,,,, ,,,,,,,,,,,,,,X,X,,,,,,감독
,진실의 방,1인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,괴조는 깊은 탄식의 끝에,4인,,X,완료,완료,,,완료,,완료,완료,완료,,,완료,,완료,,,,,완료,완료,,,,,,감독
,Santa X Escape,1인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,머더미스터리 조선 : 왕비의 독살,4인,,X,X,,,,,,,,,,,,,,,,,,예정,예정,,,,,,감독
,눈이 멈추기 전에,5인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,종이 울릴 때 까지 신데렐라,6인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,탐욕 PART.01,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,남쪽 하늘의 폴라리스,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,경성 30 불온한 자는 명랑하라.,5-6인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,뱀이 죽은 축제,4인,,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
